SIZE,COMPRESSED,RATIO,TIME
745,507,0.68053691275168,0.016347885131836
750,517,0.68933333333333,0.016306161880493
800,539,0.67375,0.016528844833374
755,508,0.67284768211921,0.015506029129028
760,525,0.69078947368421,0.014955043792725
765,528,0.69019607843137,0.01542592048645
545,399,0.73211009174312,0.015693187713623
775,531,0.68516129032258,0.016560077667236
780,526,0.67435897435897,0.015805959701538
785,534,0.68025477707006,0.016134977340698
790,528,0.66835443037975,0.016654014587402
795,541,0.68050314465409,0.016357183456421
800,538,0.6725,0.018241167068481
850,554,0.65176470588235,0.017894983291626
805,536,0.66583850931677,0.01508903503418
810,537,0.66296296296296,0.015465974807739
815,538,0.6601226993865,0.01451301574707
820,545,0.66463414634146,0.015270948410034
825,545,0.66060606060606,0.017477989196777
830,543,0.65421686746988,0.015769958496094
835,577,0.69101796407186,0.014876842498779
775,531,0.68516129032258,0.015205144882202
845,562,0.66508875739645,0.016270875930786
850,556,0.65411764705882,0.015374898910522
900,529,0.58777777777778,0.015146970748901
855,558,0.65263157894737,0.014976978302002
860,561,0.65232558139535,0.015841960906982
865,560,0.64739884393064,0.017577886581421
870,574,0.65977011494253,0.015664100646973
875,575,0.65714285714286,0.014730930328369
880,566,0.64318181818182,0.01439094543457
885,569,0.64293785310734,0.015803098678589
890,571,0.64157303370787,0.015752077102661
895,586,0.65474860335196,0.014344930648804
900,580,0.64444444444444,0.015722990036011
950,618,0.65052631578947,0.016294002532959
905,587,0.64861878453039,0.014495849609375
910,589,0.64725274725275,0.015169858932495
915,593,0.64808743169399,0.014227867126465
920,598,0.65,0.015465974807739
925,600,0.64864864864865,0.016875028610229
930,567,0.60967741935484,0.015465021133423
935,605,0.64705882352941,0.014442205429077
940,614,0.6531914893617,0.015600204467773
945,611,0.64656084656085,0.014546871185303
950,617,0.64947368421053,0.014748096466064
1000,647,0.647,0.015208959579468
955,619,0.64816753926702,0.014961004257202
960,623,0.64895833333333,0.016610860824585
965,625,0.64766839378238,0.014774084091187
970,628,0.64742268041237,0.014723062515259
975,639,0.65538461538462,0.016801118850708
980,634,0.6469387755102,0.014618873596191
985,637,0.64670050761421,0.014849901199341
990,646,0.65252525252525,0.015213966369629
550,401,0.72909090909091,0.015030145645142
1000,641,0.641,0.016860008239746
1050,672,0.64,0.014916896820068
1005,646,0.64278606965174,0.01465106010437
250,248,0.992,0.014884948730469
1015,650,0.64039408866995,0.014733791351318
1020,655,0.6421568627451,0.015115976333618
1025,656,0.64,0.016464948654175
1030,652,0.63300970873786,0.016200065612793
1035,666,0.64347826086957,0.01462197303772
1040,663,0.6375,0.014657020568848
1045,658,0.62966507177033,0.01498007774353
1050,674,0.64190476190476,0.015679121017456
1100,698,0.63454545454545,0.01467490196228
1055,675,0.63981042654028,0.017638206481934
1060,680,0.64150943396226,0.016386985778809
1065,689,0.64694835680751,0.015270948410034
1070,694,0.64859813084112,0.018133878707886
1075,697,0.64837209302326,0.015687942504883
1080,694,0.64259259259259,0.016883850097656
1085,694,0.63963133640553,0.017103910446167
1090,695,0.63761467889908,0.017735004425049
1095,704,0.64292237442922,0.016529083251953
1100,706,0.64181818181818,0.016136169433594
1150,704,0.61217391304348,0.014193058013916
1105,712,0.64434389140271,0.015159130096436
1110,700,0.63063063063063,0.01508092880249
1115,710,0.63677130044843,0.014664173126221
1120,699,0.62410714285714,0.015730857849121
1125,715,0.63555555555556,0.014616012573242
900,530,0.58888888888889,0.014086008071899
1135,706,0.62202643171806,0.014763116836548
1140,724,0.63508771929825,0.016109943389893
1145,733,0.64017467248908,0.016567945480347
1150,706,0.61391304347826,0.015511989593506
1200,745,0.62083333333333,0.015156030654907
1155,715,0.61904761904762,0.015161991119385
1160,713,0.61465517241379,0.01500678062439
1165,721,0.61888412017167,0.014628171920776
730,498,0.68219178082192,0.014754056930542
1175,726,0.61787234042553,0.015148162841797
820,545,0.66463414634146,0.016717910766602
1185,733,0.61856540084388,0.014271974563599
1190,737,0.61932773109244,0.015398025512695
50,90,1.8,0.016452074050903
1200,682,0.56833333333333,0.016438961029053
1250,741,0.5928,0.014577150344849
1205,745,0.61825726141079,0.015274047851562
1210,751,0.62066115702479,0.015072822570801
1215,742,0.61069958847737,0.015129804611206
1220,746,0.61147540983607,0.014420986175537
1225,747,0.60979591836735,0.014695167541504
1230,753,0.61219512195122,0.014286994934082
1235,741,0.6,0.015046834945679
1240,758,0.61129032258065,0.015564918518066
1245,756,0.60722891566265,0.014564990997314
1250,765,0.612,0.014709949493408
1300,782,0.60153846153846,0.014975786209106
200,212,1.06,0.014902114868164
1260,763,0.60555555555556,0.01487398147583
1265,764,0.60395256916996,0.014759063720703
1270,765,0.60236220472441,0.014827966690063
1275,776,0.60862745098039,0.014423131942749
1280,763,0.59609375,0.014961004257202
1285,765,0.59533073929961,0.015399932861328
1290,777,0.60232558139535,0.016272068023682
1295,779,0.6015444015444,0.014794111251831
700,494,0.70571428571429,0.015955924987793
1350,793,0.58740740740741,0.014825105667114
1305,778,0.59616858237548,0.015774965286255
1310,773,0.59007633587786,0.015036106109619
1315,778,0.59163498098859,0.014348983764648
1320,775,0.58712121212121,0.015676021575928
1325,784,0.59169811320755,0.015161991119385
1330,782,0.58796992481203,0.014312982559204
1335,786,0.58876404494382,0.014525890350342
1340,789,0.58880597014925,0.01702094078064
1345,789,0.58661710037175,0.015213012695312
1350,795,0.58888888888889,0.014909029006958
1400,810,0.57857142857143,0.014655113220215
1355,798,0.58892988929889,0.015120983123779
1360,797,0.58602941176471,0.015142917633057
1365,794,0.58168498168498,0.015480041503906
1370,798,0.58248175182482,0.01511812210083
1375,814,0.592,0.014978885650635
1380,804,0.58260869565217,0.014615058898926
1385,807,0.5826714801444,0.014938116073608
1390,809,0.58201438848921,0.014783143997192
1395,811,0.58136200716846,0.01517391204834
1400,1174,0.83857142857143,0.017048120498657
1450,840,0.57931034482759,0.014695882797241
1405,819,0.58291814946619,0.014206886291504
1410,820,0.58156028368794,0.014929056167603
1415,822,0.58091872791519,0.015668153762817
1420,829,0.58380281690141,0.014286994934082
1425,828,0.58105263157895,0.014691829681396
1430,828,0.57902097902098,0.014971017837524
1435,832,0.57979094076655,0.01506781578064
1440,832,0.57777777777778,0.015168905258179
1445,836,0.57854671280277,0.01544713973999
1450,838,0.57793103448276,0.014507055282593
1500,874,0.58266666666667,0.015023946762085
1455,841,0.57800687285223,0.015327930450439
1460,845,0.57876712328767,0.015388965606689
1465,851,0.58088737201365,0.014871120452881
1470,848,0.57687074829932,0.015084981918335
1475,851,0.57694915254237,0.014324903488159
1480,855,0.5777027027027,0.014486789703369
1485,863,0.58114478114478,0.01420783996582
1065,689,0.64694835680751,0.014019966125488
1495,863,0.57725752508361,0.014429092407227
1500,867,0.578,0.01447606086731
1550,890,0.5741935483871,0.014662981033325
1505,870,0.578073089701,0.014981031417847
1510,870,0.57615894039735,0.014688014984131
400,325,0.8125,0.014130830764771
1520,883,0.58092105263158,0.014292001724243
1525,1304,0.85508196721311,0.014356851577759
1530,883,0.57712418300654,0.015471935272217
1535,885,0.57654723127036,0.015898942947388
1540,888,0.57662337662338,0.015346050262451
1545,890,0.57605177993528,0.014926910400391
1550,889,0.57354838709677,0.014122009277344
1600,918,0.57375,0.014217853546143
1555,896,0.57620578778135,0.016592025756836
850,555,0.65294117647059,0.016808986663818
1565,901,0.57571884984026,0.014277935028076
1570,903,0.57515923566879,0.016509056091309
1575,908,0.57650793650794,0.014229774475098
1580,915,0.57911392405063,0.014453887939453
1585,914,0.57665615141956,0.015804052352905
1590,917,0.57672955974843,0.016922950744629
1595,916,0.57429467084639,0.015908002853394
1600,940,0.5875,0.016163110733032
1650,949,0.57515151515152,0.015590190887451
1015,650,0.64039408866995,0.014817953109741
1610,924,0.57391304347826,0.014871835708618
1615,942,0.58328173374613,0.015892028808594
1620,934,0.57654320987654,0.014608860015869
1625,937,0.57661538461538,0.015288829803467
1630,938,0.57546012269939,0.014938116073608
1635,838,0.51253822629969,0.014838933944702
1640,954,0.58170731707317,0.015110969543457
1645,949,0.57689969604863,0.014678001403809
1650,950,0.57575757575758,0.015564918518066
1700,980,0.57647058823529,0.016552209854126
1655,945,0.57099697885196,0.016202211380005
1660,956,0.57590361445783,0.016101837158203
1665,958,0.57537537537538,0.015816926956177
1670,963,0.57664670658683,0.015597820281982
1675,960,0.57313432835821,0.015232801437378
1680,969,0.57678571428571,0.016820907592773
1685,968,0.57448071216617,0.01611590385437
1690,970,0.57396449704142,0.01457405090332
1695,975,0.57522123893805,0.015104055404663
1700,980,0.57647058823529,0.015818119049072
1750,1005,0.57428571428571,0.015529155731201
1705,985,0.57771260997067,0.014668941497803
1710,982,0.57426900584795,0.01446008682251
1715,989,0.57667638483965,0.017550945281982
50,90,1.8,0.014775037765503
350,301,0.86,0.01567816734314
450,354,0.78666666666667,0.015190124511719
1735,1019,0.58731988472622,0.014633893966675
1740,1001,0.57528735632184,0.014749050140381
1745,1005,0.57593123209169,0.015070915222168
1750,893,0.51028571428571,0.014915943145752
1800,1008,0.56,0.018201112747192
1755,1009,0.57492877492877,0.015186071395874
1760,884,0.50227272727273,0.015647172927856
900,530,0.58888888888889,0.014785051345825
1770,1557,0.87966101694915,0.014608860015869
1775,1012,0.57014084507042,0.014498949050903
1780,1018,0.57191011235955,0.014137983322144
1655,945,0.57099697885196,0.01500678062439
